"date","month_year","site_name","site_num","lat","lon","red_green","green_red"
2019-02-10,Feb 2019,"Middle Shoals",113,13.4487667,144.6568166,0.757420675537359,1.32027027027027
2019-02-10,Feb 2019,"Middle Shoals",142,13.4492,144.6570666,0.763218390804598,1.31024096385542
2019-02-10,Feb 2019,"Middle Shoals",167,13.4495,144.657133,0.722437137330754,1.38420348058902
2019-02-10,Feb 2019,"Middle Shoals",169,13.4495167,144.6571,0.815227483751161,1.22665148063781
2019-02-10,Feb 2019,"Blue Hole",81,13.4363167,144.6260333,0.856931060044477,1.16695501730104
2019-02-10,Feb 2019,"Blue Hole",58,13.43535,144.6270167,0.909561940650024,1.09943034697048
2019-02-10,Feb 2019,"Orote Point",146,13.44925,144.6257,0.613924050632911,1.62886597938144
2019-02-10,Feb 2019,"Orote Point",150,13.4492667,144.62575,0.613924050632911,1.62886597938144
2019-02-10,Feb 2019,"Orote Point",137,13.44915,144.6268,0.618852459016393,1.6158940397351
2019-02-10,Feb 2019,"Orote Point",116,13.4488333,144.6263833,0.585623678646935,1.70758122743682
2019-02-10,Feb 2019,"Orote Point",106,13.4484167,144.6269333,0.596112311015119,1.67753623188406
2019-02-10,Feb 2019,"Middle Shoals",176,13.44965,144.6571667,0.817104149026249,1.22383419689119
2019-02-10,Feb 2019,"Middle Shoals",178,13.4496833,144.6571667,0.817104149026249,1.22383419689119
2019-02-10,Feb 2019,"Middle Shoals",180,13.4497,144.6571666,0.879487179487179,1.13702623906706
2019-02-10,Feb 2019,"Middle Shoals",173,13.4495833,144.6568833,0.99010989010989,1.00998890122087
2019-02-10,Feb 2019,"Middle Shoals",168,13.4495,144.6569833,0.799813780260708,1.25029103608847
2019-02-10,Feb 2019,"Middle Shoals",156,13.4493167,144.6568666,0.827281648675172,1.20877817319098
2019-02-10,Feb 2019,"Sasa Bay",129,13.4490667,144.6666667,0.875411997363217,1.14231927710843
2019-02-10,Feb 2019,"Blue Hole",88,13.4370833,144.6236666,0.819828408007626,1.21976744186047
2019-02-10,Feb 2019,"Orote Point",110,13.4486667,144.6263667,0.620390455531453,1.61188811188811
2019-02-10,Feb 2019,"Blue Hole",82,13.43645,144.6253,0.986206896551724,1.01398601398601
2019-02-10,Feb 2019,"Blue Hole",83,13.4364833,144.6253167,0.986206896551724,1.01398601398601
