ID,UNIQUEID,POLYGONID,AREA,PERIMETER,ACRES,ISLAND,M_STRUCT,D_STRUCT,M_COVER,P_COVER,ZONE,COVER_TYPE,_Pleasecou,_Pleasesum,_Pleasemea,Site Name,Longitude,Latitude,intersection_area
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6566,13.4491,"36315"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Middle Shoals,144.6572,13.4497,"22539"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.675,13.4468,"30666"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6748,13.4472,"33036"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6713,13.4472,"36746"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6667,13.4491,"34119"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6743,13.4486,"27583"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6748,13.4465,"31596"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6738,13.4492,"26239"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6739,13.4492,"27411"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6257,13.4494,"27591"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6259,13.4492,"26291"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6269,13.4484,"23651"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6278,13.4493,"37612"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6269,13.4488,"30923"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Orote Point,144.6255,13.4493,"23194"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6744,13.447,"35941"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Sasa Bay,144.6744,13.447,"35941"
"1214","1214","1034",12482682.894,58022.292,3084.471,Guam,Unconsolidated Sediment,Sand,Uncolonized,90%-100%,Dredged,Uncolonized 90%-100%,,,,Inner Harbor,144.669,13.4245,"37616"
